Driver,DriverNumber,Team,LapNumber,LapTime,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsAccurate,TrackStatus,Deleted,DeletedReason,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds
PIA,81,McLaren,19,,6.0,,0 days 01:17:11.568000,0 days 00:00:34.889000,0 days 00:00:36.572000,,239.0,265.0,,207.0,SOFT,3.0,True,False,1,,,,34.889,36.572,
RUS,63,Mercedes,1,,1.0,0 days 00:17:29.247000,,,0 days 00:00:37.189000,0 days 00:00:34.163000,245.0,311.0,316.0,199.0,SOFT,1.0,True,False,1,,,,,37.189,34.163
RUS,63,Mercedes,2,0 days 00:01:20.320000,1.0,,,0 days 00:00:26.615000,0 days 00:00:27.078000,0 days 00:00:26.627000,323.0,336.0,315.0,345.0,SOFT,2.0,True,True,1,,,80.32,26.615,27.078,26.627
RUS,63,Mercedes,3,0 days 00:01:53.613000,1.0,,0 days 00:22:29.413000,0 days 00:00:35.434000,0 days 00:00:37.322000,0 days 00:00:40.857000,237.0,296.0,,294.0,SOFT,3.0,True,False,1,,,113.613,35.434,37.322,40.857
RUS,63,Mercedes,4,,2.0,0 days 00:26:06.735000,,,0 days 00:00:38.477000,0 days 00:00:32.905000,271.0,311.0,314.0,141.0,SOFT,4.0,False,False,1,,,,,38.477,32.905
RUS,63,Mercedes,5,0 days 00:01:20.169000,2.0,,,0 days 00:00:26.437000,0 days 00:00:27.055000,0 days 00:00:26.677000,323.0,339.0,315.0,348.0,SOFT,5.0,False,True,12,,,80.169,26.437,27.055,26.677
RUS,63,Mercedes,6,0 days 00:01:51.786000,2.0,,0 days 00:31:14.095000,0 days 00:00:33.104000,0 days 00:00:36.903000,0 days 00:00:41.779000,278.0,312.0,,278.0,SOFT,6.0,False,False,1,,,111.786,33.104,36.903,41.779
RUS,63,Mercedes,7,,3.0,0 days 00:43:54.940000,,,0 days 00:00:34.509000,0 days 00:00:34.173000,295.0,275.0,315.0,157.0,SOFT,1.0,True,False,1,,,,,34.509,34.173
RUS,63,Mercedes,8,0 days 00:01:19.877000,3.0,,,0 days 00:00:26.463000,0 days 00:00:26.881000,0 days 00:00:26.533000,325.0,337.0,316.0,345.0,SOFT,2.0,True,True,1,,,79.877,26.463,26.881,26.533
RUS,63,Mercedes,9,0 days 00:01:55.041000,3.0,,0 days 00:48:51.595000,0 days 00:00:35.833000,0 days 00:00:37.337000,0 days 00:00:41.871000,250.0,295.0,,264.0,SOFT,3.0,True,False,1,,,115.041,35.833,37.337,41.871
RUS,63,Mercedes,10,,4.0,0 days 00:52:46.963000,,,0 days 00:00:38.486000,0 days 00:00:33.129000,223.0,310.0,314.0,169.0,SOFT,4.0,False,False,1,,,,,38.486,33.129
RUS,63,Mercedes,11,0 days 00:01:20.107000,4.0,,,0 days 00:00:26.507000,0 days 00:00:26.954000,0 days 00:00:26.646000,324.0,337.0,313.0,344.0,SOFT,5.0,False,True,1,,,80.107,26.507,26.954,26.646
RUS,63,Mercedes,12,0 days 00:01:43.616000,4.0,,0 days 00:57:38.568000,0 days 00:00:31.002000,0 days 00:00:33.739000,0 days 00:00:38.875000,287.0,287.0,,279.0,SOFT,6.0,False,False,1,,,103.616,31.002,33.739,38.875
RUS,63,Mercedes,13,,5.0,0 days 01:04:27.960000,,,0 days 00:00:38.268000,0 days 00:00:35.732000,229.0,291.0,319.0,215.0,SOFT,1.0,True,False,1,,,,,38.268,35.732
