year,round,event_id,event_name,driver,driver_number,driver_name,team,position,q1,q2,q3
2010,5,2010-barcelona,Spanish Grand Prix,ROS,4,Nico Rosberg,Mercedes,8,0 days 00:01:22.419000,0 days 00:01:21.867000,0 days 00:01:21.408000
2010,5,2010-barcelona,Spanish Grand Prix,MAS,7,Felipe Massa,Ferrari,9,0 days 00:01:22.564000,0 days 00:01:21.841000,0 days 00:01:21.585000
2010,5,2010-barcelona,Spanish Grand Prix,KOB,23,Kamui Kobayashi,Sauber,10,0 days 00:01:22.577000,0 days 00:01:21.725000,0 days 00:01:21.984000
2010,5,2010-barcelona,Spanish Grand Prix,SUT,14,Adrian Sutil,Force India,11,0 days 00:01:22.628000,0 days 00:01:21.985000,
2010,5,2010-barcelona,Spanish Grand Prix,DLR,22,Pedro de la Rosa,Sauber,12,0 days 00:01:22.211000,0 days 00:01:22.026000,
2010,5,2010-barcelona,Spanish Grand Prix,HUL,10,Nico Hülkenberg,Williams,13,0 days 00:01:22.857000,0 days 00:01:22.131000,
2010,5,2010-barcelona,Spanish Grand Prix,PET,12,Vitaly Petrov,Renault,14,0 days 00:01:22.976000,0 days 00:01:22.139000,
2010,5,2010-barcelona,Spanish Grand Prix,BUE,16,Sébastien Buemi,Toro Rosso,15,0 days 00:01:22.699000,0 days 00:01:22.191000,
2010,5,2010-barcelona,Spanish Grand Prix,ALG,17,Jaime Alguersuari,Toro Rosso,16,0 days 00:01:22.593000,0 days 00:01:22.207000,
2010,5,2010-barcelona,Spanish Grand Prix,LIU,15,Vitantonio Liuzzi,Force India,17,0 days 00:01:23.084000,0 days 00:01:22.854000,
2010,5,2010-barcelona,Spanish Grand Prix,BAR,9,Rubens Barrichello,Williams,18,0 days 00:01:23.125000,,
2010,5,2010-barcelona,Spanish Grand Prix,TRU,18,Jarno Trulli,Lotus,19,0 days 00:01:24.674000,,
2010,5,2010-barcelona,Spanish Grand Prix,KOV,19,Heikki Kovalainen,Lotus,20,0 days 00:01:24.748000,,
2010,5,2010-barcelona,Spanish Grand Prix,GLO,24,Timo Glock,Virgin,21,0 days 00:01:25.475000,,
2010,5,2010-barcelona,Spanish Grand Prix,DIG,25,Lucas di Grassi,Virgin,22,0 days 00:01:25.556000,,
2010,5,2010-barcelona,Spanish Grand Prix,CHA,20,Karun Chandhok,HRT,23,0 days 00:01:26.750000,,
2010,5,2010-barcelona,Spanish Grand Prix,SEN,21,Bruno Senna,HRT,24,0 days 00:01:27.122000,,
2010,6,2010-monte-carlo,Monaco Grand Prix,WEB,6,Mark Webber,Red Bull,1,0 days 00:01:15.035000,0 days 00:01:14.462000,0 days 00:01:13.826000
2010,6,2010-monte-carlo,Monaco Grand Prix,KUB,11,Robert Kubica,Renault,2,0 days 00:01:15.045000,0 days 00:01:14.549000,0 days 00:01:14.120000
2010,6,2010-monte-carlo,Monaco Grand Prix,VET,5,Sebastian Vettel,Red Bull,3,0 days 00:01:15.110000,0 days 00:01:14.568000,0 days 00:01:14.227000
2010,6,2010-monte-carlo,Monaco Grand Prix,MAS,7,Felipe Massa,Ferrari,4,0 days 00:01:14.757000,0 days 00:01:14.405000,0 days 00:01:14.283000
2010,6,2010-monte-carlo,Monaco Grand Prix,HAM,2,Lewis Hamilton,McLaren,5,0 days 00:01:15.676000,0 days 00:01:14.527000,0 days 00:01:14.432000
2010,6,2010-monte-carlo,Monaco Grand Prix,ROS,4,Nico Rosberg,Mercedes,6,0 days 00:01:15.188000,0 days 00:01:14.375000,0 days 00:01:14.544000
2010,6,2010-monte-carlo,Monaco Grand Prix,MSC,3,Michael Schumacher,Mercedes,7,0 days 00:01:15.649000,0 days 00:01:14.691000,0 days 00:01:14.590000
2010,6,2010-monte-carlo,Monaco Grand Prix,BUT,1,Jenson Button,McLaren,8,0 days 00:01:15.623000,0 days 00:01:15.150000,0 days 00:01:14.637000
2010,6,2010-monte-carlo,Monaco Grand Prix,BAR,9,Rubens Barrichello,Williams,9,0 days 00:01:15.590000,0 days 00:01:15.083000,0 days 00:01:14.901000
2010,6,2010-monte-carlo,Monaco Grand Prix,LIU,15,Vitantonio Liuzzi,Force India,10,0 days 00:01:15.397000,0 days 00:01:15.061000,0 days 00:01:15.170000
2010,6,2010-monte-carlo,Monaco Grand Prix,HUL,10,Nico Hülkenberg,Williams,11,0 days 00:01:16.030000,0 days 00:01:15.317000,
2010,6,2010-monte-carlo,Monaco Grand Prix,SUT,14,Adrian Sutil,Force India,12,0 days 00:01:15.445000,0 days 00:01:15.318000,
2010,6,2010-monte-carlo,Monaco Grand Prix,BUE,16,Sébastien Buemi,Toro Rosso,13,0 days 00:01:15.961000,0 days 00:01:15.413000,
2010,6,2010-monte-carlo,Monaco Grand Prix,PET,12,Vitaly Petrov,Renault,14,0 days 00:01:15.482000,0 days 00:01:15.576000,
2010,6,2010-monte-carlo,Monaco Grand Prix,DLR,22,Pedro de la Rosa,Sauber,15,0 days 00:01:15.908000,0 days 00:01:15.692000,
2010,6,2010-monte-carlo,Monaco Grand Prix,KOB,23,Kamui Kobayashi,Sauber,16,0 days 00:01:16.175000,0 days 00:01:15.992000,
2010,6,2010-monte-carlo,Monaco Grand Prix,ALG,17,Jaime Alguersuari,Toro Rosso,17,0 days 00:01:16.021000,0 days 00:01:16.176000,
2010,6,2010-monte-carlo,Monaco Grand Prix,KOV,19,Heikki Kovalainen,Lotus,18,0 days 00:01:17.094000,,
2010,6,2010-monte-carlo,Monaco Grand Prix,TRU,18,Jarno Trulli,Lotus,19,0 days 00:01:17.134000,,
2010,6,2010-monte-carlo,Monaco Grand Prix,GLO,24,Timo Glock,Virgin,20,0 days 00:01:17.377000,,
2010,6,2010-monte-carlo,Monaco Grand Prix,DIG,25,Lucas di Grassi,Virgin,21,0 days 00:01:17.864000,,
2010,6,2010-monte-carlo,Monaco Grand Prix,SEN,21,Bruno Senna,HRT,22,0 days 00:01:18.509000,,
